Tweet,Emotion
"i miss my sisster :( #HOMESICK", sadness
"Back to packing. I'm finally going home:)))) #excited", happiness
"Seriously, everything but #facebook is working. #frustrated", anger
"@kilsaka Wah just tryna keep a sister #happy #zaayyum", happiness
"@GwenFallenAngel I seen them on there UK tour in october! Andy thrown his towel at me and then some fat guy jumped on top of me for it #hurt", sadness
"Bout to go get this tat #excited(:", happiness
"I'm so sickof everyone in this family not valuing a single word I have to say. Respect goes both ways, you fucking tossers. #Frustrated.", anger
"The highlight of my day was breakfast -,- #sad", sadness
"I want you to know something, but I don ’t want to tell you, so I ’ll just let the first three words of this sentence expla #love #quotes", happiness
"Steak and cheese chimichanga's yessss #happy", happiness
"#LT i just saw on FB a video of a girl fuckin a pitbull smh.. #sad", sadness
"T4 on a Sunday #bliss", happiness
"I'm always home alone#lonely", sadness
"That test wasn't hard, I was just sitting there thinking I should know you but I don't .. #Annoying", anger
"I'm on my way to school and I will work harder today then I ever did when I was a youngan#worry", fear
"Do I reply to emails too quick because I promise ppl don't respond to emails quickly at all. #irritated", anger
"Christmas in a week #excited", happiness
"one of the greatest tracks EVER!! @beat_service- Outsider on #GDJB!! #Bliss *_*", happiness
"I have watched #thedarkknightrises trailer like 3190582 times. #excited #biggestfan", happiness
"I can't wait for the new Nike outlet to open #excited", happiness
"hope everyone enjoying there sunday! as much as i do #LOVE", happiness
"just did my nails + mommas nails and they loook bombbb #proud", happiness
"WTF! I Keep Losing My Nose Ring ugh!!! #Annoying!", anger
"@Taylor_Cottrell that's so awesome! I'm at the orthodontist now :( #sadness", sadness
"So excited looking through holiday brochures!!! Can't wait for next year #excited #holiday", happiness
"This is gonna be a good Christmas :) #happy #pumped #inlove", happiness
"We used to spend all of our time together we were best friends now we are complete strangers you won't even look at me. #missyou #depressed", sadness
"My mums come home with OCD and a fascist mentality.  #Joy", happiness
"@hwallace87 #garbagemen aren't considerate of others. They pick up at trash at anytime of the night #annoying #TD", anger
"I wish I got get a free shot/beer for every page I have to write for this paper. Just gonna have to make it up tomorrow #sad #cantwait", sadness
"Happiness is a choice and an action so choose and act #happy.", happiness
"So glad @The__Treatment is home. I can finally sleep good. #happy", happiness
"There is way too much hair on my head, need to get rid. #annoying", anger
"Awkward moment when the lads you got with on a night out actually go to your college #embarrassing #thursdaysbanter", sadness
"@MindlessManiacs exactly the finale of my story shoulda BEEN posted Ugh!lol #Frustrating", anger
"So I just heard a high school classmate of mine died today from a heart attack. She just had a baby 2 months ago. #sad", sadness
"Can't believe I am staying up late just to see myself on telly #sad", sadness
"Why has no one ever acted like a embarrassing drunken fool at my work Christmas parties? #Disappointment #ShouldStepMyGameUp", sadness
"Wow..I'm in deep **** ..getting the answers to an exam..I did so badddddd #panicking", fear
"Teixeira is the ref for the Levante game ... #disappointment", sadness
"i just learned that the colbie caillat concert is 21 years and older .__________. #sadness", sadness
"im very gullible....in every aspect except #love", happiness
"“@PeytonsHead: #TNF I bet Rex Ryan is biting Mark Sanchez's toe nails right now. #Nervous”", fear
"@twitter I do not like the new iPhone app. Not easy to move between accounts. #disappointed", sadness
"i'm not in a good mood. #SURPRISE", surprise
"HEY TREY, I CAME BACK FOR YOU MOE #LOVE", happiness
"“@bdubsie: One month til my license :) #excited” then you can come visit! #excited", happiness
"Damn this water movie is making me thirsty I can't stop drinking! #annoying", anger
"Listening to Buddy Holly and makin homemade mac n cheese. #love", happiness
"The elevator in Draper is not working  #annoyed", anger
"Sundays are so much more chill knowing I don't have school tomorrow! #exciting", happiness
"That's all I have to say going to drink my sorrows away. #depressed", sadness
"only one more Sunday after today until i can spend Sundays with you for a whole month!! @CCestaroo @NicoleCulver @DRCRealEstate #EXCITED", happiness
"Formal is gonna be amazing this year! #excited", happiness
"Just found the perfect boots for this winter :) #Happiness", happiness
"Why do people think its okay to make fun of us cause we didn't make it? Its not... Your just immature... #annoying", anger
"What a great feeling it is to not have to deal with it anymore #happy", happiness
"Okay dad! I'm watching tv, do not blast the music on the damn laptop.. Why are you even on my computer? #annoyed -__-", anger
"My mom pisses me off #fuck#annoyed", anger
"@katie_statie maybe you should just be more interesting before you lose a fourth #embarrassing", sadness
"F dis fukin work! Ion understand it for nuthan #frustrated", anger
"When we arent close, he kisses me goodnight w/ his spirit, tucks me in w/ his ambition, & hugs me w/ his love. #Love #GoodSleep", happiness
"Worn my Bfs hollister top all day and have managed not to spill a single thing on it #proud", happiness
"Some people really deserve to get kicked in the face for the retarded shit they say ? #annoyed", anger
"#mocha hehehe make my day #happy", happiness
"Well gonna get a nice twenty minute nap in :) results Monday :/ #nervous", fear
"I actually love how we are #happy", happiness
"@greysonchance I CAN'T WAIT!(: #excited", happiness
"How come I want new clothes but can't stand shopping? #annoying", anger
"Got called into work #happy #broke", happiness
"You're my best dream.. #love", happiness
"Trying to teach my mother how to use her new iPhone is like trying to teach a baby calculus. #frustrated", anger
"I hate when #oomf Says that getting #annoying", anger
"Going to be sitting outside Tower City for the next 40 minutes waiting for @catabood to get off work. #sad", sadness
"People these days just know how to ride my nerves #annoyed", anger
"Sandhills at christmas is so prettyyy! #love", happiness
"Should probably go to bed. Super early day tomorrow! Eeeeee #excited", happiness
"Introduced the kids to dubstep but they were not receptive to it, However they do like Partyrock and hate Justin Bieber! #proud #rolemodel", happiness
"I should really stop expecting for things to happen.... #disappointed #whatsnew", sadness
"How could you go so long without having a bath/shower #disgusting", disgust
"Some people just take the fucking piss #annoying", anger
"#scumbagbrain Y U NO work? #rage", anger
"my mom is so #annoying..", anger
"Thinking about all the work I have to finish before next friday. #depressing #dontenjoybeingsick", sadness
"Ain't shxt you do is cute #sad", sadness
"Is it sad that I have purchased my drink for saturday already! @cooper1523 @_VACCABABY #EXCITED", happiness
"My brother is pissing me the hell off im about to beat him with my dads tims #annoyed", anger
"The pilot on my plane just did a rant on loudspeaker how he wants to get to miami fast to make cocktail hour, and how tired he is. #nervous", fear
"Watch @elilieb on the French TV - Friday Cover on @Direct_8  #Happy !! :-)", happiness
"Needless to say I've calmed right down now! Apologies for filling your timeline with that rant! #rage", anger
"Every time you smile at someone, it is an action of love, a gift to that person, a beautiful thing. -Mother Teresa #SMILES  #quote #love", happiness
"Thanksgiving was so yummy and fun! Going #BlackFriday shopping with @LeahnaWalsh later <3 #firsttime #excited", happiness
"I hate waiting 7 o clock needs to be here faster #anxious", fear
"@georginacatton ah okay. I might have done.....................#surprise", surprise
"Soundgarden's new album is nearly done & should be out earlyish next year #excited", happiness
"Ughh I hate depending on people to watch my kids while I'm at wrk #irritated", anger
"@ladygaga special is easily the best thing to happen to me in months! Her message of tolerance is changing the world. #love", happiness
"Time is moving super slow. #Annoyed", anger
"I love when my parents don't believe me. yeah guys, I WANTED a huge dent in my car.... #trustissues #annoyed", anger
"@begoingHAMau grandma wants to follow ur bf on fb #creeper #annoying #AllAboutTheLove", anger
"Why must parents be so annoying?!?!? #annoyed", anger
"Really just sick of dumb people.. #Annoyed,", anger
"I don't like what you've become and It seems like the feeling's mutual. #sad", sadness
"Stop lying its not funny #annoyed", anger
"if write me please hold a damn conversation, shit #annoying", anger
"Party Dresses Galore! They finally arrived, and they look greattt! Next week online on www.dressrepublic.nl .. #happy", happiness
"My beeeeeed <3 #love #fatass", happiness
"Work shorted me at least 16 hours. #FUCKTHEDUBS  #islookingliketonanaimoforme #sad", sadness
"London and Florence & The Machine in March #EXCITED", happiness
"This asian bitch beside me is hellaaa stylish #love", happiness
"Never thought falling for a friend was possible :0  #surprised", surprise
"Patiently waiting for Monday n Tuesday  #anxious", fear
"I fucking hateeeeeeeee traffic #annoyed", anger
"Had the best weekend with the babe<3 :))) #happy", happiness
"@geemons then just go to WVU ...... #sadness", sadness
"love seeing @13_Obsessions live!!! <3 #Love", happiness
"#Sportscenter talks about the Penn State scandal everyday for hours and it's getting dry when there's no news. #Annoying", anger
"Boys are clueless 78.999% of the time!! #annoyed", anger
"i always feel alone on this..why cant anybody see the truth? #frustrated", anger
"Oh,  And McDonalds burgers are better re-heated than regular.  #surprised", surprise
"Editing Dan's 21st speech! #nervous", fear
"When you tell someone they can't have something, the moment you lose control that something will be exactly what they seek. #hurt", sadness
"I have wayyy to many family members In the army.. Just had to say bye to my cousin that's gonna be in Germany for a year or so #sad", sadness
"Ima loser with no friends or girlfriend to go out with :( #Lonely", sadness
"That one family member that seems to think that EVERYTHING is a competition #annoying", anger
"bye bye belly button piercing :( #sad #bandaidsss", sadness
"Arkansas lost to LSU ridiculous! #frustrated", anger
"My grades are on point right now. #proud", happiness
"My brother is having froyo at his wedding! I need to develop some self control before then! #excited #lovefroyo", happiness
"no hoy no mañana pero algun dia te olvidare.... #unhappy", sadness
"You're either acting out of fear or #love. #period #life", happiness
"I really shouldve said yes in going to puerto rico for christmas break #disappointed", sadness
"@SatveerJLS pahaha, babe! Thank you, made my day a bit better! xx #love", happiness
"My lie in didn't go particularly to plan  #disappointed", sadness
"This girl is sitting over here chewing wiff her mouth open.! #DISGUSTING", anger
"Rumors can get so annoying, don't say anything if u don't know the real story #annoying", anger
"Dear bands, just because you get us to buy merch and tickets does NOT give YOU the right to spit at us. Its fucking gross. #disgusted", disgust
"Fuck everything right now #irritated", anger
"High off of life, and enjoying the rush #getatme #happy", happiness
"Dear hair static simmer down please stop feeling my face up #annoyed", anger
"Just watched The Kingdom, took me at least an hour to realise it wasn't about Fife... #disappointed", sadness
"I miss my mommy #depressed", sadness
"Sick here, having cold :-& .. I wanna get well soon :-((.. #sad", sadness
"funk all the people in 12th period #embarrassed", sadness
"my friends mom gives me vitamins #love", happiness
"@gabbykane7 #thatmoment when you make your own hash tag.. So #embarrassing", sadness
"If you don't have anything to say just don't text me -.- #annoyed", anger
"u know wat bugs me and u still do it. #annoyed -_-", anger
"Gays just wanna have fun. #love", happiness
"nothing feels better than know you're on the same page #Happy", happiness
"Officially moving to BGSU on August 17th! Ahhhh #excited", happiness
"I am a loser and I wish I was awesome like @Sarah_Shelton1 =) #depressed", sadness
"Stuck in an empty bus on a packed Transitway.  #frustration", anger
"@justinbieber #OneTime2ndAnniversary we go hard Justin! :) #PROUD #NEVERSAYNEVER 5", happiness
"Loves it when her husband has a day and does the school run. #happy", happiness
"@star_twist_tos 4sho ....same here. U already know it's appreciated. Thx! #Love", happiness
"People need to learn to take a bath #disgusting", disgust
"In bed all day, sick #disappointing", sadness
"I hate this time of year!  #annoyed", anger
"Why do people do that.    #frustration", anger
"Dear @tiesto, when does your new music video come out? =) #anxious #didimakethecut", fear
"What the hell is happening #worried #confusion", fear
"achjongens. SPONGEBOB AND PATRICK trending! #love", happiness
"Boys reject virgins and praise hoes nowadays... #sad", sadness
"Ughhh cant play guitar right now without one dammit. Guess ill play piano #frustrating #sigh", anger
"It's not easy to pretend that you are in love #sad", sadness
"I really wish you would stop going on about this #annoyed", anger
"@king_merad it's easy when you mean what you say!! #love", happiness
"Did he really have to sing All Back out of all his songs -_- #depressing", sadness
"I am a Country Girl at Heart! I was kicking ass on them country roads this morning #proud", happiness
"i hate wen somebody text me or I'll text them and they wont text back  #Annoying", anger
"#thatohmoment when you have to have a friend to help you realize something... #disappointed", sadness
"Thankss To Everyone <3 :) #Love.", happiness
"i dont like people #annoyed", anger
"So i think i started some im not going to be able to finish.#disappointed", sadness
"Lets take a #flash back to where i put Nair on my body and thought it was lotion #embarrassing", sadness
"Really want to be left alone. #Disappointed", sadness
"SomeThing Dont seem right Between Me&Him , gahh . . no Goodmorning text? No nothing . #Worried <|3 :(", fear
"Bajo la comida y me meto a la pileta :D #happiness", happiness
"Michael Fassbender got nominated for best actor for Shame!!! #goldenglobes #LOVE", happiness
"@tash_winfield @Sadie_Miller @JenniferKing18 I can't believe tasha just asked that.. #disappointment", sadness
"Fucking! Cunt!!! I'm about to bro the fuck down! #rage", anger
"People need to stop making statuses about their life..News flash: no one cares. #embarrassing", sadness
"Whats the world coming to when you can't even get your best friend to follow you @JoeBau #disappointment", sadness
"You came back. Nobody gets left behind <3 #love", happiness
"why can't you just leave it for once !? #annoying", anger
"some very odd people on this train who got on at Barrow. #worried", fear
"Girl: All men are dogs! Dad: But all women have the capability of being bitches... #thatjusthappened #love", happiness
"Oh shit I have to make a speech #anxiety #bucklingknees", fear
"Baby dayton and miss peysons first thanksgiving (: #exciting (:", happiness
"When I'm feeling down and stressed.. I think of how truly blessed I am. #family #love", happiness
"Nacimos para ser felices, no para ser perfectoss..... xD #happy", happiness
"@Matt_Spark loser. What you doing? I'm eating my weight in pizza #joy", happiness
"Dude is talking politics & countries at the bar.... #annoying #nobodycares", anger
"@LocnLove AND it kept changing the colour of my text! #annoying..", anger
"These mall hours r ridiculous...if ppl cant get here at normal times then suffer #annoyed", anger
"Some people get high on conflict and drama. Stay away from them and live with love. ~ Lori Moreno #love #quote", happiness
"why do all my friends look about 10 #annoying", anger
"@michaelfromuk Amen to that! I watched the whole darn display of pathetic childs play!  #embarrassment", sadness
"@alibabwa21 @ElizabethHinton not a creature was stirring, not even a mouse #lonely", sadness
"I hate it when people hack and spit on pavements. Ewwww! #yeg #disgusting", disgust
"@SusanneKellyxx  They're actual good #Surprised", surprise
"there are seriously some sick people in this world...good golly gosh...#disgusting", disgust
"omg why wont it let me change my background picture!! #annoying", anger
"Movie date and eating chinese food with my mommy while my dad watches football in the living room being all negative and mr grumpy. #happy(:", happiness
"Was told to inform @elisa_dp that @arianaclemente has just done her stupid loud and obnoxious laugh #annoying", anger
"Jes? ielidoju m?j?s no Par?zes, tieš?m skaistas br?vdienas... (: #happy", happiness
"Finally I found a proper Serbian fast food in Ljubljana #happy", happiness
"As for as it concerns you lead by example. . . Be a PEACEMAKER. #lead #family #love", happiness
"a good few hours of coding later, home page is complete! #happy #freelance", happiness
"Why am I the only person in my house that ever wants to sleep? I spend my days and nights trying to get people to sleep! #frustrating", anger
"I hate when people use hash tags the wrong way! #omg #annoying", anger
"Doctor in the morning. Finally gonna get all of this figured out... #nervous", fear
"If you have a lot of love in your life...you have riches :) I wouldn't want to be wealthy all by myself...sharing is the good part ;) #Love", happiness
"@baybaxendale where have you been love? :( We haven't communicated sense my basketball game! #depressing", sadness
"@Briana_Turner hahah I just got so weak thinking about that #embarrassing  !", sadness
"man is this show sad... #depressed", sadness
"@SummerSanders_ Madonna is washed up! so many better musicians to choose from. #disappointed", sadness
"Turns out I just moved to the only American neighborhood in London. Full of delis and cotton candy #happy", happiness
"Just got off work my feet are killing ME!!!!!:( #SaD", sadness
"Car ride back home............... #joy", happiness
"Why did you all have to screw up everything? #disappointed", sadness
"My night will consists of wrapping presents for my family &' friends #joyful #loveable", happiness
"ACED THT EXAM!! Ahh...I can relax now lol #Proud & #StressFree", happiness
"I feel so depressing and fat when I eat...why does it make me feel do guilty? Hahah #annoying", anger
"Happy Thanksgiving ! Thankful for all of you #love", happiness
"All my life, my heart has yearned for a thing I cannot name. #love", happiness
"This asian bitch is pressed for him like hop off his nuts -_- #annoyed", anger
"@CodySimpson :O Cody I won't be able to watch from the beginning! I won't be home til like 6 or 7 tonight! D: #disappointed", sadness
"I need @ShutUpSiergio to wake up so I can have this link for his new mixtape!!!! #excited lol", happiness
"Going to bed with huge smile on my face :-) #happy", happiness
"I am really enjoying the new T.I. And Tiny show.. I miss being surrounded by the ATL southern drawl.. #homesick", sadness
"can't wait for #Glee to start!!!! :D #excited", happiness
"My own daughter has stopped following me #sad #old", sadness
"If you have nothing better to do then call your followers ugly, You should ReThink your life. #Sad", sadness
"“@edhock64: Having a macbook, camera, or good taste in music doesn't make you part of the band. #sadness”", sadness
"Didn't get a happy birthday from @joejonas #disappointed :l", sadness
"i'm getting you the same thing you got me on my birthday, nothing, not even a cake #surprise", surprise
"#np Never Think- Robert Pattinson #love :)", happiness
"this time next week it'll be christmas day uiedernj #excited!", happiness
"I just found @CousinAnthony on twitter. Um. #Excited #HesVeryAttractive", happiness
"I hate people dat change their names every minute on bbm...#annoying", anger
"Lord I thank you for who you are to me  #joy", happiness
"Made a new intro for broadcast!!! #proud", happiness
"J'ai filmé mon frère en train de réciter le texte de la pub Just Different Hugo Boss #proud", happiness
"My laptop overheats too much for no reason. #annoyed", anger
"can't believe Thanksgiving is just around the corner....#excited", happiness
"Write two page monologue for English. Realize ex-boyfriend is going to be marking it. #nervous #eek", fear
"good catch up with @BennBlake on the train #delightful.", happiness
"Holy shit you're beyond #annoying .", anger
"she calls me a thousand times a fukn day to talk about the same shyt #annoying", anger
"#YouKnowAFatPersonInvented fried twinkies, mars bars and anything else outrageous that comes fried! #disgusting", disgust
"'And who'd have thought that after all, something as simple as rock n roll would save us all?' #stuckinmyhead #love", happiness
"@Halflight_music Very glad to have missed that. One of my favourites too #Hurt", sadness
"When you can count the number of hot guys at your school on 1 hand. #disappointing", sadness
"Beyond Scared Straight will return on the 8th #excited", happiness
"@biGgSpOON68 lol it was like that with my old roommate . . he always had his on while mine was on n i would tirn mine up louder #annoying", anger
"Keep your hair above your shoulders boys #disgusting", disgust
"@heidibutler123 goood :) yah im good thank you! eee christmas in 4 sleeps! #excited", happiness
"UGHHH I HATE GETTING MY EYES DIALATED CANNOT READ A THING!!  #IRRITATED", anger
"Never Going To That Place Again #Disappointed", sadness
"Geniaaal , la coreografia de Paula y de Peter , #Love... #PyP.TA", happiness
"Cant wait to see kids in glass houses again next year! Love them! #excited", happiness
"My mom gives me medicine in shot glasses and tells me atta boi when I down em. #rage", anger
"Spent the day in one of my favourite places in the world. #happy", happiness
"We have a real solid cast this year #excited #musicalswag", happiness
"If you smoke cigarettes, you have no chance with me #disgusting", disgust
"I hate paper work #frustrating", anger
"Watching the grinch in my 5 hour break, still know every word! #sad", sadness
"@RockabettyHQ brilliant, a little cheek sometimes goes a long way #excited", happiness
"@Zmaxxx @josefinevdp men vafan! Precis när man blir asglad för 271 så ba...... #disappointment", sadness
"AAGGHH SOO MUCH EXCITEMENT!! THEXFACTOR, SAULA, PARTY PLAN WITH @Tommy__OD, ALMOST 400 TWEETS, IT'S SATURDAY! What's not to like!? :D #Happy", happiness
"Tamar is really a come up for tamar he tryin to keep her down so she wont go nowhere....#sad", sadness
"Today was an extremely good day because I made it that way.? #happy", happiness
"@shourtneyful @mayrasalcedo_ so Sorry....guess I didn't have enough shots of foundation #embarrassing", sadness
"Sitting on the porch eating blueberry pancakes... #happy", happiness
"Had great lunch with friend, I love it when a man treats you like a lady. He blow my mind away today #happy", happiness
"#CLT: Lebanese Blonde - Thievery Corporation #love @meghamathur2912 #twins", happiness
"cannot wait to go to france with the school woo #excited", happiness
"Thought you'd be there for me :/ guess not. #disappointed", sadness
"@peachieness went for the iPhone 4s, everyone who's got one seems to be impressed with it, only came today so not had a play yet! #excited", happiness
"Swear my cats on drugs. She's like extra spastic today. #annoying #ilovedogs", anger
"When I loook back and see who I've liked... #embarrassing", sadness
"Why when I want more followers people unfollow?!?!? Sooooo #Annoyed", anger
"No the VS fashion show apparently did not affect my self esteem seeing as I just ate a dessert the size of my head.  #happy", happiness
"My sisters water broke, headed to the hospital, Marquise Jr will be here anytime now.....Auntie loves you MJ #excited", happiness
"@PardonMyFlaws_ only if yu wasn't to cool to text me first without me having to ask yu sheesh that would be #Love", happiness
"No school tomorrow and my friends don't wanna go out tonight. So tempted to get drunk on my own lol #sad", sadness
"After 2 days without twitter, I feel like a stranger trying to come up with anything to tweet to fit in #sad", sadness
".@eusa, my old SU, just voted to boycott Birmingham Guild over @eddbauer's suspension and is looking into giving him hon membership! #proud", happiness
"Nothing like some icecream and bad teacher.#depressed.", sadness
"that depressing moment when u see @justinbieber retweeting, you see a lot of tweets except yours? #sad 1", sadness
"Went from facebook flexin to flexin fo twitter #sad", sadness
"OMG IT SNOWED TODAY. OMG 1111111111111111111111111111 OMG OMG OMG OMG. #nowletsgetoverit #moveon #annoying", anger
"11.11.11 <33  Everyday we should always remember. Not just once a year! <3 #love", happiness
"That tweet made me burst out laughing in class #embarrassed", sadness
"*Singing* I bet it SUCKS 2b u rite nw!!! This song is the deficated 2all those happy with their bubz &out of the madness of da past #Happy", happiness
"This city is filled with liars. #Disgusting", anger
"Anissa cousin just sd doesnt like me.. #hurt", sadness
"Missing my best friends who are on vacation in Shanghai. And my kids who are at their dad's. Lots of grading to do though. #Algebra #lonely", sadness
"Women Will Sell They Soul, Just To Buy Some Attention... #Sad...", sadness
"I understand your efforts, but NOBODY likes you, Salvation Army Bell Ringers. #annoying #Idrathershootmyselfinthefootthanhearyourdangbell", anger
"I hate when people smack while they eat. #disgusting", disgust
"was @GOfollowDO vergeten in me bio ;$$$$$$$ maar ze staat der weer in hoor (h) #love", happiness
"need to get away from pain in the ass siblings #annoyed", anger
"Not in the mood... #annoyed", anger
"Such a loooong day of preparing ahead! Then party party party party! #excited", happiness
"Cant even watch this game. We need to get it together! #depressing #pathetic", sadness
"Been home fa 3weeks na n i still havent made my rounds to c mii friends smh #sad", sadness
"My #jimmyjohns isn't freaky fast. #disappointed", sadness
"Please follow @gadiss_ayu . She's a humble and friendly person . She really love you and hope someday u'll follow her #love @AustinMahone 15", happiness
"I can't wait for T.I && Tiny's The family hustle . #excited", happiness
"I love my new hair colour #happy", happiness
"#UNDERTHEMISTLETOE is addictive! Can't stop listening to it:) specially DRUMMER BOY & FA LA LA ? @justinbieber #PROUD .", happiness
"You and me baby ain't nothin but mammals so let's do it like they do on the discovery channel #rage", anger
"When I think I'm going to far for college then I think again and get happy about all the Midwest boys(: #excited", happiness
":(( I miss my home,  I havemy seen it ever since I had walked out of it to go to school :(( #Homesick", sadness
"#word ur gurl goin home 2morrow afternoon #happy", happiness
"First game of the season tomorrow #nervous", fear
"5-0 win for the pens.  So happy sid is back!  I love my boys :')  #hockeytweet #love", happiness
"@Bearcats_Nation I just don't know yet.  This OOC schedule is so bad I just don't think we'll know until January.  #Embarrassing  #Bearcats", sadness
"This heffa has been vacuuming for 30 mins! This office is not that damn big turn that shit off!! #annoying", anger
"I love each of you individually, but as a couple i honestly want to rip your heads off. #annoying", anger
"Finishing up details for Alpha Xi Delta's Faculty Talent Show next week! Super excited, may have a couple of surprises in store. #Excited", happiness
"Wish I was going to see breaking dawn... #sad", sadness
"Everyone please pray for me...hardest final ever tomorrow. I'm gonna need all the prayers possible!! Goooodnightt! #nervous", fear
"Didn't think this would hurt this bad #depressed", sadness
"I would appreciate it if the fire truck sirens would stop ... Trying to sleep  #frustrated", anger
"People complain too damn much ugh #annoying", anger
"My dog is so weird; if you rub his belly, he just lays there & enjoys it; if you stop for even one second, he'll attack you. #lol #annoying.", anger
"3/3 italian teams qualified to the second round. #happy", happiness
"gister was echt heel leuk ! #metlievefamilie #love", happiness
"@oxfirefly Between 1,500 (minimum) and 2,500 (maximum). It's due in tomorrow #PANIC", fear
"Dont you just hate when its raining too fast for the intermediate wipers but too slow for the next setting #annoying #rubbing #sound", anger
"We on our way to Laurel, blasting Take Care #love", happiness
"@enotriauk 1st order for the wines for our new list going in this week. Majority supplied by Enotria #excited", happiness
"Coming home to sleep forever :) :) #excited", happiness
"Ordered a new oven today #excitement", happiness
"Ahhhh. Finally. The one day where they acualy cook enough food to fill me up!!! #Excited", happiness
"i hate using school restrooms . Ecorse girls are so #DISGUSTING !", anger
"Woke up with sex on my mind. but then my daughter screamed MORNING nd brought me back to reality. #Sad", sadness
"Not having the best of mornings #irritated", anger
"This nasty bitch just licked her fingers, then touched all our sweat pants. #disgusted", disgust
"90% finished :-D maaaaan am #Proud", happiness
"@PuttyMcK yeah he s injured,he is not playing the ranji trophy matches 4 kerala becoz of this injury #sad", sadness
"All just went away :) #happy", happiness
"@MaxTheWanted never would I think in a million years you'd be doing a US tour... #proud! :D x", happiness
"It still really hasn't sunk in that the semester is over. Maybe cause I'm still waiting for grades to be posted...hurry up! #Anxious", fear
"I'm kind of freaking out right now. Why isn't pregame on yet? #nervous #anxious", fear
"@bino989 Yes she was very classy about it. To bad they dont show her the same respect. They cant go a day without talking about her! #SAD", sadness
"@Maliboooom @t_young5 that's what I'm sayiiinnnnn #rage", anger
"Good Morning all! May God continue to Bless you throughout your day!  Be thankful for life, health and strength and remember to #LOVE!", happiness
"@A_Marie8048 @kaylee1410 can't wait to see youu! #excited :)", happiness
"lil boosie- bitch who do you #love", happiness
"If you don't have enough money to tip maybe you shouldn't of ordered that fourth beer. #annoying", anger
"No phone call. #sad #dontwannatalkaboutit", sadness
"U with somebody for 4 years yal fall out & All of a sudden they dnt love u no more #sad", sadness
"@Eggaldinho the symptoms seem to subside quite a bit when your on annual leave!!! #SAD", sadness
"super thrilled that I can't fall asleep, and haven't been able to for the past week. #irritated #exhausted", anger
"Just finished taking off my decals... #depressing", sadness
"whole attitude jus changed ; #smfh #annoyed", anger
"off out to #London for the day!!! #Excitement !! :D", happiness
"denise richards @denise_richards is gorgeous @charliesheen you fucked up ! Some people never learn && yet you think you're winning . #sad", sadness
"There is too many people on the road who don't know how to drive. #irritated", anger
"Since when did I have 6 subscribers omg hahahahaha #freaked #happy", happiness
"You don't even care. No regard for my feelings what so ever #disappointed", sadness
"Bout to eat soon !! #EXCITEMENT !", happiness
"Just purchased paper plates and cutlery for my party- only one week to go!! #excited", happiness
"Ugh he needs to call me back #worried", fear
"15 days to go!!!! @nikunited11 #excited!", happiness
"Also, I need to get my shit together. I've been making a lot of dumb choices lately. #depressed", sadness
"Think its time to get back in that relationship gamee #happy", happiness
"FSU lost to Harvard today in the Bahamas tournament. The score was 14-14 at halftime making that the lowest mark since 1986 #embarrassing", sadness
"So ready for my twilight night I'm make popxorn and cookies and nacho dip #excited", happiness
"Just remembered that I'm going to get a fuck ton of money when I sell my books back! #excited #christmasshopping", happiness
"When u fuckjng borrow something give it back when ur asked to. #so #annoyed", anger
"What a long,boring day... idk what im gonna eat for supper.. #nothinginthishousetoeat but the good thing is that ive lost 2.2pds. ((: #happy", happiness
"@malin_wahl Føler med deg, sitter med matte ... #love", happiness
"All i want is my check then go not be waiting around forever #Annoyed", anger
"This b.tch soo #Annoying #Irritating", anger
"Another one of my roll models falls to PEDs #sad", sadness
"@elle_strauss I have a serious cliff hanger at the end, but it is a series, with the next one being much longer #worry @ali_cross", fear
"parents and family are supposed to be the people you turn to right? Then why do I feel like I can't go to them for anything :/ #frustrated", anger
"If you're happy and you know it, slap your friends. #happy", happiness
"Getting ready to take my last final! #nervous", fear
"My mom accidentally texted me what she got me for Christmas loll.. #surprise", surprise
"now i remember why i rarely play shows any more.  #anxiety", fear
"#NASCARdrama stop comparing everything to the Kyle Busch thing #annoyed", anger
"oh man when can i get back on the court #anxious", fear
"At the drug test place and they have pictures of charleston all around.... #HomeSick", sadness
"here at Bulacan.. Need to practice for the talent exam! bhow am I going to memorize a piece in just 2 days?????? #worried", fear
"Night saved. Running into old friends at SL. #joy", happiness
"@mHart3214 i know, im an #embarrassment", sadness
"The days till I see u are getting less and less but im getting that nervous feeling in my stomach more and more... #nervous", fear
"Uff, qué fin de año: conquistadores 6, concurso de google y mi relación con ms! :D. #Happy", happiness
"Seeing a guy that is like hot nice and funny but is just too old for you -.- #disappointment", sadness
"That akward momeny when everything is akward -_- #confused #frustrated", anger
"Pretty sure im getting my bunny tomorrow! #excited", happiness
"About to leave bailey flowers on her step #surprise", surprise
"@That__One_Bitch no money, no one to go with. #sad", sadness
"Dinner with @Painters_Pen_ at Haricots.  #Happiness", happiness
"Why doesn't my computer put a period at the end of my sentence when i double space like my phone does? #annoying", anger
"No one ever has legit plans, this is rediculous I need something fun to do #annoyed", anger
"Watching the lights of Istanbul on my bed right before i sleep <3 #love", happiness
"This has been the best couple of days of my life. Didn't know I could be this #Happy", happiness
"@Spiritual_GIANT well he didn't tell me that the road was gonna be easy! ill just count it all joy. that grace & mercy took me on in! #Happy", happiness
"When someone parks too close to my car and I can't get out. #frustrated", anger
"Casey's sandwiches taste like airplane food. #disgusting", disgust
